,location,company,title,salary
7321,"Manhattan, NY",LifeMine Therapeutics,Genomics Scientist,
7322,"New York, NY 10154",KPMG,Data Scientist - Big Data & Analytics,
7323,"Brookhaven, NY",Amneal Pharmaceuticals,Research Scientist,
7324,"Manhattan, NY",LifeMine Therapeutics,Genomics Scientist,
7325,"New York, NY 10154",KPMG,Data Scientist - Big Data & Analytics,
7326,"Brookhaven, NY",Amneal Pharmaceuticals,Research Scientist,
7327,"Manhattan, NY",LifeMine Therapeutics,Genomics Scientist,
7328,"New York, NY 10154",KPMG,Data Scientist - Big Data & Analytics,
7329,"Brookhaven, NY",Amneal Pharmaceuticals,Research Scientist,
7330,"Manhattan, NY",LifeMine Therapeutics,Genomics Scientist,
7331,"New York, NY 10154",KPMG,Data Scientist - Big Data & Analytics,
7332,"Brookhaven, NY",Amneal Pharmaceuticals,Research Scientist,
7333,"Manhattan, NY",LifeMine Therapeutics,Genomics Scientist,
7334,"New York, NY 10154",KPMG,Data Scientist - Big Data & Analytics,
7335,"Brookhaven, NY",Amneal Pharmaceuticals,Research Scientist,
7336,"Manhattan, NY",LifeMine Therapeutics,Genomics Scientist,
7337,"New York, NY 10154",KPMG,Data Scientist - Big Data & Analytics,
7338,"Brookhaven, NY",Amneal Pharmaceuticals,Research Scientist,
7339,"Manhattan, NY",LifeMine Therapeutics,Genomics Scientist,
7340,"New York, NY 10154",KPMG,Data Scientist - Big Data & Analytics,
7341,"Brookhaven, NY",Amneal Pharmaceuticals,Research Scientist,
7342,"Manhattan, NY",LifeMine Therapeutics,Genomics Scientist,
7343,"New York, NY 10154",KPMG,Data Scientist - Big Data & Analytics,
7344,"Brookhaven, NY",Amneal Pharmaceuticals,Research Scientist,
7345,"Manhattan, NY",LifeMine Therapeutics,Genomics Scientist,
7346,"New York, NY 10154",KPMG,Data Scientist - Big Data & Analytics,
7347,"Brookhaven, NY",Amneal Pharmaceuticals,Research Scientist,
7348,"Manhattan, NY",LifeMine Therapeutics,Genomics Scientist,
7349,"New York, NY 10154",KPMG,Data Scientist - Big Data & Analytics,
7350,"Brookhaven, NY",Amneal Pharmaceuticals,Research Scientist,
7351,"Manhattan, NY",LifeMine Therapeutics,Genomics Scientist,
7352,"New York, NY 10154",KPMG,Data Scientist - Big Data & Analytics,
7353,"Brookhaven, NY",Amneal Pharmaceuticals,Research Scientist,
7354,"Manhattan, NY",LifeMine Therapeutics,Genomics Scientist,
7355,"New York, NY 10154",KPMG,Data Scientist - Big Data & Analytics,
7356,"Brookhaven, NY",Amneal Pharmaceuticals,Research Scientist,
7357,"Manhattan, NY",LifeMine Therapeutics,Genomics Scientist,
7358,"New York, NY 10154",KPMG,Data Scientist - Big Data & Analytics,
7359,"Brookhaven, NY",Amneal Pharmaceuticals,Research Scientist,
7360,"Manhattan, NY",LifeMine Therapeutics,Genomics Scientist,
7361,"New York, NY 10154",KPMG,Data Scientist - Big Data & Analytics,
7362,"Brookhaven, NY",Amneal Pharmaceuticals,Research Scientist,
7363,"Manhattan, NY",LifeMine Therapeutics,Genomics Scientist,
7364,"New York, NY 10154",KPMG,Data Scientist - Big Data & Analytics,
7365,"Brookhaven, NY",Amneal Pharmaceuticals,Research Scientist,
7366,"Manhattan, NY",LifeMine Therapeutics,Genomics Scientist,
7367,"New York, NY 10154",KPMG,Data Scientist - Big Data & Analytics,
7368,"Brookhaven, NY",Amneal Pharmaceuticals,Research Scientist,
7369,"Manhattan, NY",LifeMine Therapeutics,Genomics Scientist,
7370,"New York, NY 10154",KPMG,Data Scientist - Big Data & Analytics,
7371,"Brookhaven, NY",Amneal Pharmaceuticals,Research Scientist,
7372,"Manhattan, NY",LifeMine Therapeutics,Genomics Scientist,
7373,"New York, NY 10154",KPMG,Data Scientist - Big Data & Analytics,
7374,"Brookhaven, NY",Amneal Pharmaceuticals,Research Scientist,
7375,"Manhattan, NY",LifeMine Therapeutics,Genomics Scientist,
7376,"New York, NY 10154",KPMG,Data Scientist - Big Data & Analytics,
7377,"Brookhaven, NY",Amneal Pharmaceuticals,Research Scientist,
7378,"Manhattan, NY",LifeMine Therapeutics,Genomics Scientist,
7379,"New York, NY 10154",KPMG,Data Scientist - Big Data & Analytics,
7380,"Brookhaven, NY",Amneal Pharmaceuticals,Research Scientist,
7381,"Manhattan, NY",LifeMine Therapeutics,Genomics Scientist,
7382,"New York, NY 10154",KPMG,Data Scientist - Big Data & Analytics,
7383,"Brookhaven, NY",Amneal Pharmaceuticals,Research Scientist,
7384,"Manhattan, NY",LifeMine Therapeutics,Genomics Scientist,
7385,"New York, NY 10154",KPMG,Data Scientist - Big Data & Analytics,
7386,"Brookhaven, NY",Amneal Pharmaceuticals,Research Scientist,
7387,"Manhattan, NY",LifeMine Therapeutics,Genomics Scientist,
7388,"New York, NY 10154",KPMG,Data Scientist - Big Data & Analytics,
7389,"Brookhaven, NY",Amneal Pharmaceuticals,Research Scientist,
7390,"Manhattan, NY",LifeMine Therapeutics,Genomics Scientist,
7391,"New York, NY 10154",KPMG,Data Scientist - Big Data & Analytics,
7392,"Brookhaven, NY",Amneal Pharmaceuticals,Research Scientist,
7393,"Manhattan, NY",LifeMine Therapeutics,Genomics Scientist,
7394,"New York, NY 10154",KPMG,Data Scientist - Big Data & Analytics,
7395,"Brookhaven, NY",Amneal Pharmaceuticals,Research Scientist,
7396,"Manhattan, NY",LifeMine Therapeutics,Genomics Scientist,
7397,"New York, NY 10154",KPMG,Data Scientist - Big Data & Analytics,
7398,"Brookhaven, NY",Amneal Pharmaceuticals,Research Scientist,
7399,"Manhattan, NY",LifeMine Therapeutics,Genomics Scientist,
7400,"New York, NY 10154",KPMG,Data Scientist - Big Data & Analytics,
7401,"Brookhaven, NY",Amneal Pharmaceuticals,Research Scientist,
7402,"Manhattan, NY",LifeMine Therapeutics,Genomics Scientist,
7403,"New York, NY 10154",KPMG,Data Scientist - Big Data & Analytics,
7404,"Brookhaven, NY",Amneal Pharmaceuticals,Research Scientist,
7405,"Manhattan, NY",LifeMine Therapeutics,Genomics Scientist,
7406,"New York, NY 10154",KPMG,Data Scientist - Big Data & Analytics,
7407,"Brookhaven, NY",Amneal Pharmaceuticals,Research Scientist,
7408,"Manhattan, NY",LifeMine Therapeutics,Genomics Scientist,
7409,"New York, NY 10154",KPMG,Data Scientist - Big Data & Analytics,
7410,"Brookhaven, NY",Amneal Pharmaceuticals,Research Scientist,
7411,"Manhattan, NY",LifeMine Therapeutics,Genomics Scientist,
7412,"New York, NY 10154",KPMG,Data Scientist - Big Data & Analytics,
7413,"Brookhaven, NY",Amneal Pharmaceuticals,Research Scientist,
7414,"Manhattan, NY",LifeMine Therapeutics,Genomics Scientist,
7415,"New York, NY 10154",KPMG,Data Scientist - Big Data & Analytics,
7416,"Brookhaven, NY",Amneal Pharmaceuticals,Research Scientist,
7417,"Manhattan, NY",LifeMine Therapeutics,Genomics Scientist,
7418,"New York, NY 10154",KPMG,Data Scientist - Big Data & Analytics,
7419,"Brookhaven, NY",Amneal Pharmaceuticals,Research Scientist,
7420,"Manhattan, NY",LifeMine Therapeutics,Genomics Scientist,
7421,"New York, NY 10154",KPMG,Data Scientist - Big Data & Analytics,
7422,"Brookhaven, NY",Amneal Pharmaceuticals,Research Scientist,
7423,"Manhattan, NY",LifeMine Therapeutics,Genomics Scientist,
7424,"New York, NY 10154",KPMG,Data Scientist - Big Data & Analytics,
7425,"Brookhaven, NY",Amneal Pharmaceuticals,Research Scientist,
7426,"Manhattan, NY",LifeMine Therapeutics,Genomics Scientist,
7427,"New York, NY 10154",KPMG,Data Scientist - Big Data & Analytics,
7428,"Brookhaven, NY",Amneal Pharmaceuticals,Research Scientist,
7429,"Manhattan, NY",LifeMine Therapeutics,Genomics Scientist,
7430,"New York, NY 10154",KPMG,Data Scientist - Big Data & Analytics,
7431,"Brookhaven, NY",Amneal Pharmaceuticals,Research Scientist,
7432,"Manhattan, NY",LifeMine Therapeutics,Genomics Scientist,
7433,"New York, NY 10154",KPMG,Data Scientist - Big Data & Analytics,
7434,"Brookhaven, NY",Amneal Pharmaceuticals,Research Scientist,
7435,"Manhattan, NY",LifeMine Therapeutics,Genomics Scientist,
7436,"New York, NY 10154",KPMG,Data Scientist - Big Data & Analytics,
7437,"Brookhaven, NY",Amneal Pharmaceuticals,Research Scientist,
7438,"Manhattan, NY",LifeMine Therapeutics,Genomics Scientist,
7439,"New York, NY 10154",KPMG,Data Scientist - Big Data & Analytics,
7440,"Brookhaven, NY",Amneal Pharmaceuticals,Research Scientist,
7441,"Manhattan, NY",LifeMine Therapeutics,Genomics Scientist,
7442,"New York, NY 10154",KPMG,Data Scientist - Big Data & Analytics,
7443,"Brookhaven, NY",Amneal Pharmaceuticals,Research Scientist,
7444,"Manhattan, NY",LifeMine Therapeutics,Genomics Scientist,
7445,"New York, NY 10154",KPMG,Data Scientist - Big Data & Analytics,
7446,"Brookhaven, NY",Amneal Pharmaceuticals,Research Scientist,
7447,"Manhattan, NY",LifeMine Therapeutics,Genomics Scientist,
7448,"New York, NY 10154",KPMG,Data Scientist - Big Data & Analytics,
7449,"Brookhaven, NY",Amneal Pharmaceuticals,Research Scientist,
7450,"Manhattan, NY",LifeMine Therapeutics,Genomics Scientist,
7451,"New York, NY 10154",KPMG,Data Scientist - Big Data & Analytics,
7452,"Brookhaven, NY",Amneal Pharmaceuticals,Research Scientist,
7453,"Manhattan, NY",LifeMine Therapeutics,Genomics Scientist,
7454,"New York, NY 10154",KPMG,Data Scientist - Big Data & Analytics,
7455,"Brookhaven, NY",Amneal Pharmaceuticals,Research Scientist,
7456,"Manhattan, NY",LifeMine Therapeutics,Genomics Scientist,
7457,"New York, NY 10154",KPMG,Data Scientist - Big Data & Analytics,
7458,"Brookhaven, NY",Amneal Pharmaceuticals,Research Scientist,
7459,"Manhattan, NY",LifeMine Therapeutics,Genomics Scientist,
7460,"New York, NY 10154",KPMG,Data Scientist - Big Data & Analytics,
7461,"Brookhaven, NY",Amneal Pharmaceuticals,Research Scientist,
7462,"Manhattan, NY",LifeMine Therapeutics,Genomics Scientist,
7463,"New York, NY 10154",KPMG,Data Scientist - Big Data & Analytics,
7464,"Brookhaven, NY",Amneal Pharmaceuticals,Research Scientist,
7465,"Manhattan, NY",LifeMine Therapeutics,Genomics Scientist,
7466,"New York, NY 10154",KPMG,Data Scientist - Big Data & Analytics,
7467,"Brookhaven, NY",Amneal Pharmaceuticals,Research Scientist,
7468,"Manhattan, NY",LifeMine Therapeutics,Genomics Scientist,
7469,"New York, NY 10154",KPMG,Data Scientist - Big Data & Analytics,
7470,"Brookhaven, NY",Amneal Pharmaceuticals,Research Scientist,
7471,"Manhattan, NY",LifeMine Therapeutics,Genomics Scientist,
7472,"New York, NY 10154",KPMG,Data Scientist - Big Data & Analytics,
7473,"Brookhaven, NY",Amneal Pharmaceuticals,Research Scientist,
7474,"Manhattan, NY",LifeMine Therapeutics,Genomics Scientist,
7475,"New York, NY 10154",KPMG,Data Scientist - Big Data & Analytics,
7476,"Brookhaven, NY",Amneal Pharmaceuticals,Research Scientist,
7477,"Manhattan, NY",LifeMine Therapeutics,Genomics Scientist,
7478,"New York, NY 10154",KPMG,Data Scientist - Big Data & Analytics,
7479,"Brookhaven, NY",Amneal Pharmaceuticals,Research Scientist,
7480,"Manhattan, NY",LifeMine Therapeutics,Genomics Scientist,
7481,"New York, NY 10154",KPMG,Data Scientist - Big Data & Analytics,
7482,"Brookhaven, NY",Amneal Pharmaceuticals,Research Scientist,
7483,"Manhattan, NY",LifeMine Therapeutics,Genomics Scientist,
7484,"New York, NY 10154",KPMG,Data Scientist - Big Data & Analytics,
7485,"Brookhaven, NY",Amneal Pharmaceuticals,Research Scientist,
7486,"Manhattan, NY",LifeMine Therapeutics,Genomics Scientist,
7487,"New York, NY 10154",KPMG,Data Scientist - Big Data & Analytics,
7488,"Brookhaven, NY",Amneal Pharmaceuticals,Research Scientist,
7489,"Manhattan, NY",LifeMine Therapeutics,Genomics Scientist,
7490,"New York, NY 10154",KPMG,Data Scientist - Big Data & Analytics,
7491,"Brookhaven, NY",Amneal Pharmaceuticals,Research Scientist,
7492,"Manhattan, NY",LifeMine Therapeutics,Genomics Scientist,
7493,"New York, NY 10154",KPMG,Data Scientist - Big Data & Analytics,
7494,"Brookhaven, NY",Amneal Pharmaceuticals,Research Scientist,
7495,"Manhattan, NY",LifeMine Therapeutics,Genomics Scientist,
7496,"New York, NY 10154",KPMG,Data Scientist - Big Data & Analytics,
7497,"Brookhaven, NY",Amneal Pharmaceuticals,Research Scientist,
7498,"Manhattan, NY",LifeMine Therapeutics,Genomics Scientist,
7499,"New York, NY 10154",KPMG,Data Scientist - Big Data & Analytics,
7500,"Brookhaven, NY",Amneal Pharmaceuticals,Research Scientist,
7501,"Manhattan, NY",LifeMine Therapeutics,Genomics Scientist,
7502,"New York, NY 10154",KPMG,Data Scientist - Big Data & Analytics,
7503,"Brookhaven, NY",Amneal Pharmaceuticals,Research Scientist,
7504,"Manhattan, NY",LifeMine Therapeutics,Genomics Scientist,
7505,"New York, NY 10154",KPMG,Data Scientist - Big Data & Analytics,
7506,"Brookhaven, NY",Amneal Pharmaceuticals,Research Scientist,
7507,"Manhattan, NY",LifeMine Therapeutics,Genomics Scientist,
7508,"New York, NY 10154",KPMG,Data Scientist - Big Data & Analytics,
7509,"Brookhaven, NY",Amneal Pharmaceuticals,Research Scientist,
7510,"Manhattan, NY",LifeMine Therapeutics,Genomics Scientist,
7511,"New York, NY 10154",KPMG,Data Scientist - Big Data & Analytics,
7512,"Brookhaven, NY",Amneal Pharmaceuticals,Research Scientist,
7513,"Manhattan, NY",LifeMine Therapeutics,Genomics Scientist,
7514,"New York, NY 10154",KPMG,Data Scientist - Big Data & Analytics,
7515,"Brookhaven, NY",Amneal Pharmaceuticals,Research Scientist,
7516,"Manhattan, NY",LifeMine Therapeutics,Genomics Scientist,
7517,"Richardson, TX 75081",Theatro Labs Inc,Data Scientist,
7518,"Plano, TX 75093",Data One Global,Quantitative Analyst / Data Scientist,
7519,"Fort Worth, TX",Alcon Labs,Sr. Scientist,
7520,United States,Predictive Science,Data Scientist,
7521,"Dallas, TX",Pathway Healthcare,Clinical Outcomes Research Analyst,
7522,"Fort Worth, TX",Alcon Labs,Sr. Scientist,
7523,United States,Predictive Science,Data Scientist,
7524,"Fort Worth, TX",Alcon Labs,Sr. Scientist,
7525,"Plano, TX 75093",Data One Global,Quantitative Analyst / Data Scientist,
7526,United States,Predictive Science,Data Scientist,
7527,"Fort Worth, TX",Alcon Labs,Sr. Scientist,
7528,"Plano, TX 75093",Data One Global,Quantitative Analyst / Data Scientist,
7529,United States,Predictive Science,Data Scientist,
7530,"Fort Worth, TX",Alcon Labs,Sr. Scientist,
7531,"Plano, TX 75093",Data One Global,Quantitative Analyst / Data Scientist,
7532,"Plano, TX 75093",Data One Global,Quantitative Analyst / Data Scientist,
7533,"Fort Worth, TX",Alcon Labs,Sr. Scientist,
7534,United States,Predictive Science,Data Scientist,
7535,"Plano, TX 75093",Data One Global,Quantitative Analyst / Data Scientist,
7536,"Fort Worth, TX",Alcon Labs,Sr. Scientist,
7537,United States,Predictive Science,Data Scientist,
7538,"Plano, TX 75093",Data One Global,Quantitative Analyst / Data Scientist,
7539,"Fort Worth, TX",Alcon Labs,Sr. Scientist,
7540,United States,Predictive Science,Data Scientist,
7541,"Plano, TX 75093",Data One Global,Quantitative Analyst / Data Scientist,
7542,"Fort Worth, TX",Alcon Labs,Sr. Scientist,
7543,United States,Predictive Science,Data Scientist,
7544,"Plano, TX 75093",Data One Global,Quantitative Analyst / Data Scientist,
7545,"Fort Worth, TX",Alcon Labs,Sr. Scientist,
7546,United States,Predictive Science,Data Scientist,
7547,"Plano, TX 75093",Data One Global,Quantitative Analyst / Data Scientist,
7548,"Fort Worth, TX",Alcon Labs,Sr. Scientist,
7549,United States,Predictive Science,Data Scientist,
7550,"Plano, TX 75093",Data One Global,Quantitative Analyst / Data Scientist,
7551,"Fort Worth, TX",Alcon Labs,Sr. Scientist,
7552,United States,Predictive Science,Data Scientist,
7553,"Plano, TX 75093",Data One Global,Quantitative Analyst / Data Scientist,
7554,"Fort Worth, TX",Alcon Labs,Sr. Scientist,
7555,United States,Predictive Science,Data Scientist,
7556,United States,Predictive Science,Data Scientist,
7557,"Fort Worth, TX",Alcon Labs,Sr. Scientist,
7558,"Plano, TX 75093",Data One Global,Quantitative Analyst / Data Scientist,
7559,United States,Predictive Science,Data Scientist,
7560,"Fort Worth, TX",Alcon Labs,Sr. Scientist,
7561,"Plano, TX 75093",Data One Global,Quantitative Analyst / Data Scientist,
7562,"Plano, TX 75093",Data One Global,Quantitative Analyst / Data Scientist,
7563,"Fort Worth, TX",Alcon Labs,Sr. Scientist,
7564,United States,Predictive Science,Data Scientist,
7565,"Plano, TX 75093",Data One Global,Quantitative Analyst / Data Scientist,
7566,"Fort Worth, TX",Alcon Labs,Sr. Scientist,
7567,United States,Predictive Science,Data Scientist,
7568,United States,Predictive Science,Data Scientist,
7569,"Fort Worth, TX",Alcon Labs,Sr. Scientist,
7570,"Plano, TX 75093",Data One Global,Quantitative Analyst / Data Scientist,
7571,United States,Predictive Science,Data Scientist,
7572,"Fort Worth, TX",Alcon Labs,Sr. Scientist,
7573,"Plano, TX 75093",Data One Global,Quantitative Analyst / Data Scientist,
7574,United States,Predictive Science,Data Scientist,
7575,"Fort Worth, TX",Alcon Labs,Sr. Scientist,
7576,"Plano, TX 75093",Data One Global,Quantitative Analyst / Data Scientist,
7577,"Plano, TX 75093",Data One Global,Quantitative Analyst / Data Scientist,
7578,"Richardson, TX 75081",Theatro Labs Inc,Data Scientist,
7579,United States,Predictive Science,Data Scientist,
7580,"Dallas, TX",Pathway Healthcare,Clinical Outcomes Research Analyst,
7581,"Irving, TX 75038",Verizon,Big Data Platform Architect,
7582,"Irving, TX",Xoriant Corporation,Data Scientist,
7583,"Dallas, TX",Comprehensive Lab Services,Research & Development Scientist,
7584,"Dallas, TX",Smith Hanley Associates,Senior Data Scientist,
7585,United States,Predictive Science,Data Scientist,
7586,"Dallas, TX",Pathway Healthcare,Clinical Outcomes Research Analyst,
7587,"Plano, TX 75093",Data One Global,Quantitative Analyst / Data Scientist,
7588,"Plano, TX 75093",Data One Global,Quantitative Analyst / Data Scientist,
7589,"Fort Worth, TX",Alcon Labs,Sr. Scientist,
7590,"Richardson, TX 75081",Theatro Labs Inc,Data Scientist,
7591,United States,Predictive Science,Data Scientist,
7592,"Dallas, TX",Pathway Healthcare,Clinical Outcomes Research Analyst,
7593,"Plano, TX 75093",Data One Global,Quantitative Analyst / Data Scientist,
7594,"Richardson, TX 75081",Theatro Labs Inc,Data Scientist,
7595,United States,Predictive Science,Data Scientist,
7596,"Plano, TX 75093",Data One Global,Quantitative Analyst / Data Scientist,
7597,United States,Predictive Science,Data Scientist,
7598,"Fort Worth, TX",Alcon Labs,Sr. Scientist,
7599,"Plano, TX 75093",Data One Global,Quantitative Analyst / Data Scientist,
7600,"Plano, TX 75093",Data One Global,Quantitative Analyst / Data Scientist,
7601,"Fort Worth, TX",Alcon Labs,Sr. Scientist,
7602,United States,Predictive Science,Data Scientist,
7603,"Plano, TX 75093",Data One Global,Quantitative Analyst / Data Scientist,
7604,"Fort Worth, TX",Alcon Labs,Sr. Scientist,
7605,United States,Predictive Science,Data Scientist,
7606,United States,Predictive Science,Data Scientist,
7607,"Fort Worth, TX",Alcon Labs,Sr. Scientist,
7608,"Dallas, TX",Pathway Healthcare,Clinical Outcomes Research Analyst,
7609,United States,Predictive Science,Data Scientist,
7610,"Dallas, TX",Pathway Healthcare,Clinical Outcomes Research Analyst,
7611,"Fort Worth, TX",Alcon Labs,Sr. Scientist,
7612,"Fort Worth, TX",Alcon Labs,Sr. Scientist,
7613,"Plano, TX 75093",Data One Global,Quantitative Analyst / Data Scientist,
7614,"Dallas, TX",Pathway Healthcare,Clinical Outcomes Research Analyst,
7615,"Fort Worth, TX",Alcon Labs,Sr. Scientist,
7616,"Dallas, TX",Pathway Healthcare,Clinical Outcomes Research Analyst,
7617,United States,Predictive Science,Data Scientist,
7618,United States,Predictive Science,Data Scientist,
7619,"Plano, TX 75093",Data One Global,Quantitative Analyst / Data Scientist,
7620,"Fort Worth, TX",Alcon Labs,Sr. Scientist,
7621,United States,Predictive Science,Data Scientist,
7622,"Plano, TX 75093",Data One Global,Quantitative Analyst / Data Scientist,
7623,"Fort Worth, TX",Alcon Labs,Sr. Scientist,
7624,United States,Predictive Science,Data Scientist,
7625,"Dallas, TX",Pathway Healthcare,Clinical Outcomes Research Analyst,
7626,"Plano, TX 75093",Data One Global,Quantitative Analyst / Data Scientist,
7627,"Richardson, TX 75081",Theatro Labs Inc,Data Scientist,
7628,"Dallas, TX",Pathway Healthcare,Clinical Outcomes Research Analyst,
7629,"Fort Worth, TX",Alcon Labs,Sr. Scientist,
7630,United States,Predictive Science,Data Scientist,
7631,"Fort Worth, TX",Alcon Labs,Sr. Scientist,
7632,"Dallas, TX",Pathway Healthcare,Clinical Outcomes Research Analyst,
7633,United States,Predictive Science,Data Scientist,
7634,"Fort Worth, TX",Alcon Labs,Sr. Scientist,
7635,"Dallas, TX",Pathway Healthcare,Clinical Outcomes Research Analyst,
7636,United States,Predictive Science,Data Scientist,
7637,"Fort Worth, TX",Alcon Labs,Sr. Scientist,
7638,"Dallas, TX",Pathway Healthcare,Clinical Outcomes Research Analyst,
7639,United States,Predictive Science,Data Scientist,
7640,"Fort Worth, TX",Alcon Labs,Sr. Scientist,
7641,"Dallas, TX",Pathway Healthcare,Clinical Outcomes Research Analyst,
7642,"Plano, TX 75093",Data One Global,Quantitative Analyst / Data Scientist,
7643,"Dallas, TX",Pathway Healthcare,Clinical Outcomes Research Analyst,
7644,"Fort Worth, TX",Alcon Labs,Sr. Scientist,
7645,"Richardson, TX 75081",Theatro Labs Inc,Data Scientist,
7646,"Dallas, TX",Pathway Healthcare,Clinical Outcomes Research Analyst,
7647,"Plano, TX 75093",Data One Global,Quantitative Analyst / Data Scientist,
7648,United States,Predictive Science,Data Scientist,
7649,"Fort Worth, TX",Alcon Labs,Sr. Scientist,
7650,"Dallas, TX",Pathway Healthcare,Clinical Outcomes Research Analyst,
7651,United States,Predictive Science,Data Scientist,
7652,"Fort Worth, TX",Alcon Labs,Sr. Scientist,
7653,"Dallas, TX",Pathway Healthcare,Clinical Outcomes Research Analyst,
7654,"Richardson, TX 75081",Theatro Labs Inc,Data Scientist,
7655,United States,Predictive Science,Data Scientist,
7656,"Fort Worth, TX",Alcon Labs,Sr. Scientist,
7657,United States,Predictive Science,Data Scientist,
7658,"Fort Worth, TX",Alcon Labs,Sr. Scientist,
7659,"Dallas, TX",Pathway Healthcare,Clinical Outcomes Research Analyst,
7660,United States,Predictive Science,Data Scientist,
7661,"Richardson, TX 75081",Theatro Labs Inc,Data Scientist,
7662,"Plano, TX 75093",Data One Global,Quantitative Analyst / Data Scientist,
7663,United States,Predictive Science,Data Scientist,
7664,"Richardson, TX 75081",Theatro Labs Inc,Data Scientist,
7665,"Plano, TX 75093",Data One Global,Quantitative Analyst / Data Scientist,
7666,United States,Predictive Science,Data Scientist,
7667,"Dallas, TX",Pathway Healthcare,Clinical Outcomes Research Analyst,
7668,"Fort Worth, TX",Alcon Labs,Sr. Scientist,
7669,"Plano, TX 75093",Data One Global,Quantitative Analyst / Data Scientist,
7670,"Richardson, TX 75081",Theatro Labs Inc,Data Scientist,
7671,"Fort Worth, TX",Alcon Labs,Sr. Scientist,
7672,"Richardson, TX 75081",Theatro Labs Inc,Data Scientist,
7673,"Plano, TX 75093",Data One Global,Quantitative Analyst / Data Scientist,
7674,"Fort Worth, TX",Alcon Labs,Sr. Scientist,
7675,"Richardson, TX 75081",Theatro Labs Inc,Data Scientist,
7676,"Plano, TX 75093",Data One Global,Quantitative Analyst / Data Scientist,
7677,"Fort Worth, TX",Alcon Labs,Sr. Scientist,
7678,"Plano, TX 75093",Data One Global,Quantitative Analyst / Data Scientist,
7679,"Dallas, TX",Pathway Healthcare,Clinical Outcomes Research Analyst,
7680,United States,Predictive Science,Data Scientist,
7681,"Plano, TX 75093",Data One Global,Quantitative Analyst / Data Scientist,
7682,"Fort Worth, TX",Alcon Labs,Sr. Scientist,
7683,"Richardson, TX 75081",Theatro Labs Inc,Data Scientist,
7684,"Plano, TX 75093",Data One Global,Quantitative Analyst / Data Scientist,
7685,"Fort Worth, TX",Alcon Labs,Sr. Scientist,
7686,"Richardson, TX 75081",Theatro Labs Inc,Data Scientist,
7687,United States,Predictive Science,Data Scientist,
7688,"Dallas, TX",Pathway Healthcare,Clinical Outcomes Research Analyst,
7689,"Fort Worth, TX",Alcon Labs,Sr. Scientist,
7690,United States,Predictive Science,Data Scientist,
7691,"Dallas, TX",Pathway Healthcare,Clinical Outcomes Research Analyst,
7692,"Fort Worth, TX",Alcon Labs,Sr. Scientist,
7693,"Plano, TX 75093",Data One Global,Quantitative Analyst / Data Scientist,
7694,"Dallas, TX",Pathway Healthcare,Clinical Outcomes Research Analyst,
7695,"Fort Worth, TX",Alcon Labs,Sr. Scientist,
7696,United States,Predictive Science,Data Scientist,
7697,"Plano, TX 75093",Data One Global,Quantitative Analyst / Data Scientist,
7698,"Fort Worth, TX",Alcon Labs,Sr. Scientist,
7699,United States,Predictive Science,Data Scientist,
7700,"Dallas, TX",Pathway Healthcare,Clinical Outcomes Research Analyst,
7701,"Fort Worth, TX",Alcon Labs,Sr. Scientist,
7702,United States,Predictive Science,Data Scientist,
7703,"Dallas, TX",Pathway Healthcare,Clinical Outcomes Research Analyst,
7704,"Fort Worth, TX",Alcon Labs,Sr. Scientist,
7705,United States,Predictive Science,Data Scientist,
7706,"Dallas, TX",Pathway Healthcare,Clinical Outcomes Research Analyst,
7707,"Fort Worth, TX",Alcon Labs,Sr. Scientist,
7708,"Richardson, TX 75081",Theatro Labs Inc,Data Scientist,
7709,"Dallas, TX",Pathway Healthcare,Clinical Outcomes Research Analyst,
7710,"Fort Worth, TX",Alcon Labs,Sr. Scientist,
7711,"Richardson, TX 75081",Theatro Labs Inc,Data Scientist,
7712,"Dallas, TX",Pathway Healthcare,Clinical Outcomes Research Analyst,
7713,"Fort Worth, TX",Alcon Labs,Sr. Scientist,
7714,"Richardson, TX 75081",Theatro Labs Inc,Data Scientist,
7715,"Dallas, TX",Pathway Healthcare,Clinical Outcomes Research Analyst,
7716,United States,Predictive Science,Data Scientist,
7717,"Richardson, TX 75081",Theatro Labs Inc,Data Scientist,
7718,"Dallas, TX",Pathway Healthcare,Clinical Outcomes Research Analyst,
7719,"Fort Worth, TX",Alcon Labs,Sr. Scientist,
7720,"Richardson, TX 75081",Theatro Labs Inc,Data Scientist,
7721,"Dallas, TX",Pathway Healthcare,Clinical Outcomes Research Analyst,
7722,"Fort Worth, TX",Alcon Labs,Sr. Scientist,
7723,United States,Predictive Science,Data Scientist,
7724,"Fort Worth, TX",Alcon Labs,Sr. Scientist,
7725,"Dallas, TX",Pathway Healthcare,Clinical Outcomes Research Analyst,
7726,United States,Predictive Science,Data Scientist,
7727,"Fort Worth, TX",Alcon Labs,Sr. Scientist,
7728,"Dallas, TX",Pathway Healthcare,Clinical Outcomes Research Analyst,
7729,United States,Predictive Science,Data Scientist,
7730,"Fort Worth, TX",Alcon Labs,Sr. Scientist,
7731,"Dallas, TX",Pathway Healthcare,Clinical Outcomes Research Analyst,
7732,United States,Predictive Science,Data Scientist,
7733,"Fort Worth, TX",Alcon Labs,Sr. Scientist,
7734,"Dallas, TX",Pathway Healthcare,Clinical Outcomes Research Analyst,
7735,"Richardson, TX 75081",Theatro Labs Inc,Data Scientist,
7736,"Fort Worth, TX",Alcon Labs,Sr. Scientist,
